Name,Country,Years active,Proven victims,Possible victims,Notes
Enriqueta Martí,Spain,c. 1900–1912,12,12+,"Self-proclaimed witch that abducted, prostituted, murdered and made potions with the bodies of small children that she sold in Barcelona. Remains of 12 different children were identified in her home, but she is believed to have murdered more. Murdered in prison by fellow inmates while awaiting trial in 1913.[197]  Recent investigations by writer Jordi Corominas and historian Elsa Plaza question the popular version of the black legend of Enriqueta Martí and warned about multiples misinformation, because Enriqueta ""was never formally charged with murder nor was any corpse of a child found in her home.""[198][199]"
Abdallah al-Hubal,Yemen,1990–1998,12,12,"Killed seven people after Yemeni unification; fled prison, then proceeded to kill a young couple and three more people; killed during a shootout with police.[200]"
Nikolai Shestakov,Soviet Union,1975,12,12,"Known as the ""Luberetsky Maniac""; truck driver who raped and killed girls and young women; supposedly executed in 1977.[201]"
Joseph Christopher,United States,1980–1981,12,12,"Known as ""The Midtown Slasher""; racist who killed 12 people, all but one of them African Americans, in 1980 and 1981, between upstate New York and Georgia, mutilating two of them. Sentenced to life imprisonment, died in prison age 33 of breast cancer.[202]"
"""Paraquat murders"" killer",Japan,1985,12,12,Unidentified serial killer who carried out a series of indiscriminate poisonings in Japan in 1985 that killed 12.
Siswanto,Indonesia,1994–1996,12,,"Alias Robot Gedek. Homeless man that killed 12 boys. Sentenced to death on May 21, 1997. Died in prison on March 26, 2007."
Sergey Golovkin,Soviet Union  Russia,1986–1992,11,40+,Killed at least 11 boys in the Moscow area between 1986 and 1992.[203] Executed by gunshot in 1996; last person executed in Russia before the death penalty was abolished.
Tiago Henrique Gomes da Rocha,Brazil,2011–2014,11,39,"Gomes da Rocha was a Brazilian security guard who confessed to the murders of 39 people. He was sentenced to 25 years in prison for 11 murders, and attempted suicide while incarcerated.[204]"
Herb Baumeister,United States,1990–1996,11,23,Strangled gay men and buried their bodies in his backyard in Indiana and Ohio; 11 men were found in the yard but only five were identified. Died after shooting himself when faced with arrest.[205]
Zhang Yongming,China,2008–2012,11,17–20,Sold flesh of his victims as 'ostrich meat' and kept eyeballs in wine. Executed.[206]
Jack Unterweger,Austria  United States  Czechoslovakia,1974–1992,11,15,"Served 14 years in Austrian prison because of a murder in 1974; killed at least nine sex workers after his release. Was a small media star in Austrian media in the early 1990s and, on behalf of Austrian police, was arrested in the US, where he may have killed another three sex workers. Hanged himself in 1994 after being sentenced to life in prison.[207]"
Vaughn Greenwood,United States,1964–1975,11,13,"Known as the ""Skid Row Slasher"". Killed 11 people, suspected of two more. Cut victims' throats from ear to ear and may have drunk their blood. Sentenced to imprisonment for life.[208]"
Anthony Sowell,United States,2007–2009,11,11+,"Known as The Cleveland Strangler, he was convicted of killing 11 women between 2007 and 2009, and is suspected in another series of murders in the 1980s, with the two sets of killings separated by a 15-year stint in prison. Sentenced to death.[209]"
Henri Désiré Landru,France,1915–1919,11,11,"Nicknamed ""Bluebeard"", he put notes in the lonely hearts section of newspapers under different aliases, presenting himself as a widower that wanted to marry a war widow. He killed at least 10 women and the teenage son of one of them, and burned their bodies after he had gained access to their assets. Executed by guillotine in 1922.[210]"
Nannie Doss,United States,1927–1954,11,11,"Responsible for 11 deaths between 1927 and 1954. Known as the ""Giggling Nanny"", the ""Giggling Granny"", and the ""Jolly Black Widow"". Sentenced to imprisonment for life. Died of leukemia in 1965, age 59.[211]"
Marie Alexandrine Becker,Belgium,1933–1936,11,11,Poisoned wealthy clients while working as a seamstress. Died in prison in 1942.
Seisaku Nakamura,Japan,1938–1942,11,11,"Teenage serial killer known as the ""Hamamatsu Deaf Killer"" for having been born deaf. Murdered 11 people (including his brother) and attacked many others, among them his father, sister, brother-in-law and nephew. Tried as an adult and executed by hanging.[212]"
Robledo Puch,Argentina,1971,11,11,Convicted of 11 murders and multiple other crimes including attempted murder and sexual assault. Sentenced to life imprisonment in 1980.[213]
Clifford Olson,Canada,1980–1981,11,11,"Considered a dangerous offender, meaning that Olson could never have been released from prison. He had three parole applications rejected.[214] Died from cancer in 2011."
Francisco García Escalero,Spain,1987–1994,11,11,"Known as ""The Killer Beggar"". A necrophilic, schizophrenic homeless man found insane and confined to a psychiatric hospital after killing 11 sex workers and other homeless people between 1987 and 1994.[215] Died in 2014."
Henry Louis Wallace,United States,1990–1994,11,11,"Murdered 11 black women in Charlotte, North Carolina. The victims were all women that he knew."
Benjamin Atkins,United States,1991–1992,11,11,"Known as ""The Woodward Corridor Killer"". Raped and strangled his victims before abandoning their bodies in vacant buildings. Died in prison in 1997, age 29, from AIDS.[216]"
Adnan Çolak,Turkey,1992–1995,11,11,Killed 11 elderly women aged 68 to 95 and raped six others. Sentenced to death but commuted to life in prison after Turkey abolished the death penalty in 2004.
Andre Crawford,United States,1993–1999,11,11,Murdered 11 women between 1993 and 1999. Sentenced to life in prison.[217]
Francisco de Assis Pereira,Brazil,1997–1998,11,11,"Rapist and serial killer, known as ""O Maníaco do Parque"" (The Park Maniac). He was arrested for the torture, rape and death of 11 women and for assaulting nine in a park in São Paulo, Brazil during the 1990s. Pereira found his victims by posing as a talent scout for a modeling agency. Sentenced to 268 years.[218]"
Barnaul Maniac,Russia,1997–2000,11,11,The Barnaul Maniac was an unidentified Russian serial killer who murdered nine women and two girls in the city of Barnaul and the village of Buranovo. The main suspect was arrested in October 2000 but killed himself in jail in November that year.
Gao Chengyong,China,1998–2002,11,11,"Known as ""Chinese Jack the Ripper""; killed women and then mutilated their corpses.[219] Executed in 2019."
Yevgeny Petrov,Russia,1998–2003,11,11,"Known as the ""Novouralsk Ripper""; a child rapist who kidnapped and killed young girls around Novouralsk, mutilating and burning their corpses afterwards; sentenced to life imprisonment.[220]"
Ruslan Khamarov,Ukraine,2000–2003,11,11,"Seduced, raped and then killed women in his home; sentenced to life imprisonment.[221]"
West Mesa Killer,United States,2003–2005,11,11,"Remains of 11 women, who disappeared between 2003 and 2005, were found buried in the desert in Albuquerque, New Mexico in 2009 and attributed to a bone collector.[222]"
Very Idham Henyansyah,Indonesia,2006–2008,11,11,"Known as the ""singing serial killer"" and ""Ryan"", the artistic name he adopted while awaiting his execution in prison, where he recorded an album and wrote his autobiography. ""Ryan"" confessed to murdering 11 people including a toddler; 10 of his victims were buried in his parents' home backyard while the last one was butchered and hidden in a suitcase. Sentenced to death.[223]"
Roshu Kha,Bangladesh,2008,11,11,Raped and murdered garment workers after being rejected by his lover. Sentenced to death.[224]
Martin Lecián,Czechoslovakia,1927,11,,Responsible for killing 10 policemen and 1 prison officer. Executed in 1927.
Lonnie David Franklin Jr.,United States,1985–2007,10,25+,"Known as the ""Grim Sleeper"" for the alleged 14-year hiatus he took from murdering between 1988 and 2002. Shot and strangled his victims, mostly women, around South Los Angeles. Sentenced to death.[225][226] On March 28, 2020, Franklin was found dead in his cell.[227]"
Rudolf Pleil,West Germany,1946–1947,10,25,"Known as Der Totmacher (""The Deadmaker""). Convicted of killing a salesman and nine women. Claimed to have killed 25.[228] Killed himself by hanging in 1958."
Milton Johnson,United States,1983,10,17,"Known as ""The Weekend Murderer"" killed up to 17 people.[229] Sentenced to life without parole."
Long Island serial killer,United States,1996–2010,10,16,"Unidentified serial killer also known as ""The Gilgo Beach Killer"". Believed to have murdered 10 to 14 people associated with the sex trade over a period of 15 years.[230]"
Daniel Lee Siebert,United States,1979–1986,10,13,Convicted of a 1979 manslaughter; killed 10 people across America in three months in mid-1980s including two children and a Southside Slayer victim.[231] Sentenced to death; died from cancer in prison in 2008.
Sergey Cherny,Russia,1999,10,11,Strangled women around Smolensk; suspected of the drowning death of another woman; died in 2001 from pneumonia while in a special psychiatric hospital.[232]
Jeanne Weber,France,1905–1908,10,10+,Transient baby-sitter who strangled children in her care. Declared insane. Hanged herself in prison in 1918.[233]
Nikolai Dzhumagaliev,Soviet Union,1979–1991,10,10+,Lured women in a park at night and hacked them with an axe as part of a plan to rid the world of prostitution. Also cooked parts of his victims and ate them himself or served them to other people as part of ethnic dishes. Found innocent by reason of insanity and interned in a mental institution.
Bobby Joe Long,United States,1984,10,10+,"Known as ""The Classified Ad Rapist""; killed 10 women in Tampa Bay, Florida in 1984. Sentenced to death. Executed by lethal injection on 23 May 2019.[234]"
Stewart Wilken,South Africa,1990–1997,10,10+,"Known as ""Boetie Boer""; raped, sodomised and murdered 10 victims from 1990 to 1997. Sentenced to seven life terms.[235]"
Viktor Fokin,Russia,1996–2000,10,10+,"Known as the ""Grandfather Ripper""; pensioner who lured, killed and then dismembered sex workers and alcohol abusers in his home, disposing of the remains in garbage containers after; died while imprisoned at a corrective labor colony."
David Randitsheni,South Africa,2004–2008,10,10+,"Kidnapped 19 people, raped 17, and murdered 10. Sentenced to 16 consecutive life sentences plus 220 years in prison; hanged himself three weeks after conviction.[236]"
Edmund Kemper,United States,1964–1973,10,10,"Known as ""The Co-ed Butcher."" At age 15, he confessed to murdering his grandparents and served six years as a criminally insane juvenile. He was released in 1969. In 1972 and 1973, he murdered and dismembered six young women, then killed his mother and her friend. He was sentenced to eight counts of seven years to life.[237]"
Dennis Rader,United States,1974–2004,10,10,"Known as the BTK Killer. Murdered 10 people in Sedgwick County (in and around Wichita), Kansas, between 1974 and 1991. Sentenced to life imprisonment with no parole for 175 years.[238]"
Stanislav Rogolev,Soviet Union,1980–1982,10,10,"Known as ""Agent 000""; killed and raped women, managing to avoid capture through suspected knowledge of the investigation against him; executed by firing squad in 1984.[239]"
Oleg Kuznetsov,Soviet Union  Russia  Ukraine,1991–1992,10,10,"Robbed, raped and killed people around Russia and Ukraine; sentenced to death but commuted to life imprisonment.[240]"
Satish,India,1995–1998,10,10,"Killed 10 girls who were between the ages of five and nine. He was arrested from Bahadurgargh, Haryana after a long chase by Haryana police.[241]"
Eduard Shemyakov,Russia,1996–1998,10,10,"Known as the ""Resort Maniac""; Ukrainian who raped, killed and dismembered women in St. Petersburg, supposedly cannibalizing one of the victims; sentenced to compulsory treatment.[242]"
Ali Kaya,Turkey,1997–2014?,10,10,"Known as ""The Baby Faced Killer""; responsible for 10 murders. Escaped from prison and later recaptured.[243]"
Chen Yongfeng,China,2003,10,10,"Known as ""The Butcher""; killed and dismembered 10 people at his house in the city of Wenzhou in the Zhejiang province within the span of a few months.[244]"
Zhou Kehua,China,2004–2012,10,10,"A former soldier who targeted ATM users. He killed 10 people and evaded the law for eight years, before being shot in a shootout with police after a year-long manhunt.[245]"
Kang Ho-sun,South Korea,2006–2008,10,10,"Sentenced to death in 2010 for killing 10 women, including his wife and mother-in-law.[246]"
Masten Wanjala,Kenya,2015–2021,10,10,"Described as a ""bloodthirsty vampire""; confessed to killing and drinking the blood of multiple children in Nairobi and led police to the bodies of some of the victims.[247] Wanjala escaped from police custody while awaiting trial, but was later found in Bungoma County and murdered by angry locals.[248]"
Louis van Schoor,South Africa,1986–1989,9,100,"Former security guard who was convicted of seven murders and two assassinations, but confessed to a reporter that he murdered 100 people; sentenced to 20 years in prison and released on parole in 2004.[249]"
Peter Kürten,German Empire  Germany,1913–1930,9,79,"Charged with nine murders and seven attempted murders. Dubbed ""The Vampire of Düsseldorf"" by the contemporary media. Executed by guillotine in 1931.[250]"
Roger Dale Stafford,United States,1974–1978,9,34,"Killed nine people in two states, including a family of three; his wife implicated him in 34 total murders in different states; executed by lethal injection in 1995.[251]"
Norman Afzal Simons,South Africa,1986–1994,9,22,"Known as the ""Station Strangler"", convicted of only one of 22 cases of murder and sodomy of young children near Cape Town.[252] Sentenced to imprisonment for life."
Francis Heaulme,France,1984–1992,9,20,"Convicted of killing nine people, but suspected in the murder of dozens. He is known as the ""Criminal Backpacker"" due to his travels throughout France. He left a trail of bodies wherever he went.[253]"
Joel Rifkin,United States,1989–1993,9,17,"Known as ""The Drifter"",[254] killed sex workers in New York City, most of them drug addicts. Convicted of nine murders but believed to have committed 17; also suspected of being the unidentified Long Island serial killer. Sentenced to 203 years to imprisonment for life."
Dagmar Overbye,Denmark,1913–1920,9,15,"Murdered between nine and 25 children—of which one was her own—during a seven-year period. In 1921, she was sentenced to death in one of the most talked about trials in Danish history, that changed legislation on childcare. The sentence was later commuted to life in prison. Overbye was working as a professional child minder, caring for babies born outside of marriage, murdering her charges. She strangled them, drowned them or burned them to death in her masonry heater. The corpses were either cremated, buried or hidden in the loft.[255] Died in prison in 1929."
Kenneth McDuff,United States,1966–1992,9,14+,"Known as ""The Broomstick Killer""; death sentence for 1966 triple-murder was commuted. Killed again three days after 1989 parole and 10 further times in Waco, Texas until 1992. Executed by lethal injection in 1998.[256]"
Robert Joseph Silveria Jr.,United States,1981–1996,9,14+,"Known as ""The Boxcar Killer""; freight train rider convicted of beating to death fellow transients and confessed to dozens more.[257]"
Dr. No,United States,1981–1990,9,12,"Supposedly murdered sex workers and exotic dancers; his first victim was Marcia King, who was identified in 2018.[258][259]"
Richard Biegenwald,United States,1958–1983,9,11+,"Known as ""The Thrill Killer"". Killed at least nine people in Monmouth County, New Jersey and is suspected in at least two other murders.[260] Died of respiratory and kidney failure in 2008."
New Bedford Highway Killer,United States,1988–1989,9,11,Unidentified serial killer who killed nine women and disappearance of two others between 1988 and 1989.[261]
Alexander Bychkov,Russia,2009–2012,9,11,Described in his personal diary how he killed 11 men who were alcoholics and tramps. Confessed to eating body parts of his victims. Found guilty of nine murders and sentenced to life imprisonment.[262]
Maryvale serial shooter,United States,2015–2016,9,11,"Motorist who shot 12 people in separate events in Phoenix, Arizona, killing nine. Aaron Saucedo was charged with the shootings and two additional murders in 2017.[263]"
Edgecombe County Serial Killer,United States,2000s,9,10,"Unidentified serial killer who killed nine women and possibly another who disappeared since 2005 around Rocky Mount, North Carolina. Antwan Pittman was convicted in one case.[264]"
Sergei Martynov,Russia,1992–2010,9,9+,Convicted of raping and murdering a woman in 1992. Sentenced to life imprisonment for killing eight more women during a violent crime spree between 2005 and 2010.
Lloyd Gomez,United States,1950–1951,9,9,"Known as ""The Phantom Hobo Killer""; homeless man who killed other homeless men across California in the early 1950s.[265]"
Timothy Krajcir,United States,2000s,9,9,"Killed nine women across Pennsylvania, Illinois, Kentucky and Missouri (five in Cape Girardeau) in the 1970s and 1980s.[266]"
Anatoly Utkin,Soviet Union,1968–1973,9,,"Known as ""Ulyanovsky maniac""; killed 8 girls and 1 man from 1968 to 1973; executed 1975."
Gilberto Chamba,Ecuador  Spain,1988–2004,9,,"Taxi driver known as ""The Monster of Machala"", between 1988 and 1993 abducted 10 of his passengers (all lone female students) in this Ecuadorian city and killed 8, often raping them after with a stick. Though sentenced to 16 years in prison, he benefitted from an amnesty campaign in 2000 that also cleared his criminal record and moved to Spain, where he was arrested for the rape and murder of another student and the attempted rape and murder of a prostitute in 2004. Sentenced in 2005 to 45 years in prison."
Ondrej Rigo,Czechoslovakia  Germany  Netherlands,1990–1992,9,,"Slovak serial killer and necrophile who committed his murders during the early 1990s in Slovakia, Germany and the Netherlands. He was arrested in 1992 and received a life sentence in 1994. He remains the murderer with the biggest number of victims in the modern history of Slovakia."
Alfred Gaynor,United States,1995–1998,9,,"Crack cocaine addict. Killed nine women in Massachusetts. Sentenced to life in prison on May 19, 2000."
Mark Goudeau,United States,2005–2006,9,,"Known as ""The Baseline Killer""; convicted of nine murders in Phoenix, Arizona."
Keith Hunter Jesperson,United States,1990–1995,8,160,"Dubbed the ""Happy Face Killer"", Jesperson was convicted of killing eight women by strangulation.[267]"
Rodney Alcala,United States,1971–1979,8,130+,"Known as the ""Dating Game Killer"" for appearing on the game show The Dating Game in the middle of his killing years. Was convicted of at least five murders, though his actual total is estimated to be much higher."
Ottis Toole,United States,1980–1983,8,100–125,"Initially convicted of three counts of murder, later pleaded guilty to four more murders before dying in prison. A sometime accomplice of convicted serial killer Henry Lee Lucas, Toole admitted to—and retracted multiple times—over 100 counts of murder, rape, arson and cannibalism, and was suspected in several other unsolved murders. In 2008, police announced that they had identified Toole as the likely murderer of Adam Walsh, and would be closing the case as a result.[268]"
Kiyotaka Katsuta,Japan,1982–1983,8,22,"Strangled or shot people to rob them, using a gun he had stolen from a policeman after running him over with his car. Hanged in 2000.[269]"
Joseph Paul Franklin,United States,1977–1980,8,20+,White supremacist shooter who confessed to 20 murders and several attempted murders. Executed by lethal injection in 2013.[270]
Pierre Chanal,France,1980–1988,8,17,Military instructor suspected of killing boys and men in Marne; killed himself before trial.[271]
Christopher Wilder,United States,1984,8,13+,Killed eight women during a spree before accidentally shooting himself; suspected in the disappearance and murder of more than five more.[272]
Axeman of New Orleans,United States,1918–1919,8,12+,Unidentified serial killer of at least eight people in the New Orleans area from May 1918 to October 1919.[273]
Vladimir Retunsky,Russia,1990–1996,8,12,"Known as the ""Povorinsky Maniac""; kidnapped, raped and killed hitchhikers in his hometown of Povorino, possibly abusing their corpses; initially sentenced to death, but later reduced to 15 years imprisonment and released in 2015.[274]"
Gilbert Paul Jordan,Canada,1965–1987,8,10,"Known as the ""Boozing Barber"", he would typically find alcoholic women in bars in Vancouver's destitute Downtown Eastside, buy them drinks or pay them for sex and encourage them to drink with him. When they passed out, he would pour more liquor down their throats. The resulting deaths were reported as alcohol poisoning and generally ignored by police as the intentional murders blended in with the common occurrence in that neighbourhood. Died in 2006.[275]"
Frankford Slasher,United States,1985–1990,8,9,"Allegedly responsible for nine murders in the Frankford neighborhood of Philadelphia, Pennsylvania; Leonard Christopher was convicted of one murder; another murder was committed in same style while he was incarcerated; believed to still be at large."
Kendall Francois,United States,1996–1998,8,9,"Admitted to killing eight sex workers in Poughkeepsie, New York, but denied involvement with the disappearance of a ninth prostitute."
Hilda Nilsson,Sweden,1915–1917,8,8+,"Known as the ""baby farming"" killer; she killed babies she received custody of by drowning them in a wash basin.[276] Convicted for the murder of seven infants and the manslaughter of an eighth.[277] She was the last Swede sentenced to death whose sentence was not commuted.[276]"
Yoshio Kodaira,China  Japan,1932–1946,8,8+,"A serial rapist, Kodaira killed his father-in-law in 1932 and seven to 10 women in Japan between 1945 and 1946, engaging in necrophilia after the fifth murder. Previously (1920s) he had been deployed to Northern China as a sailor in the Imperial Japanese Navy, where he was free to target the locals. Hanged in 1949."
John Christie,United Kingdom,1943–1953,8,8+,"Serial killer and alleged necrophile active during the 1940s and early 1950s. He murdered at least eight people—including his wife, Ethel—by strangling them in his flat at 10 Rillington Place, Notting Hill, London. The bodies of three of Christie's victims were found in a wallpaper-covered kitchen alcove soon after Christie moved out of Rillington Place during March 1953. The remains of two more victims were discovered in the garden, and his wife's body was found beneath the floorboards of the front room. Christie was arrested and convicted of his wife's murder, for which he was hanged."
Eric Edgar Cooke,Australia,1958–1963,8,8+,"Known as the ""Night Caller"" and later the ""Nedlands Monster""; killed at least eight people and attempted to kill at least fourteen in and around Perth between 1959 and 1963; he was the last person to be hanged in Western Australia.[278]"
Forest City Killer,Canada,1969–1970,8,8+,"Unidentified serial killer from the late 1960s to early 1970s. Based on the number of unsolved murders of women in the era, there is probably at least one other victim.[279]"
John Edward Robinson,United States,1984–2000,8,8+,"Known as ""The Slavemaster""; lured victims through the internet."
Bruce McArthur,Canada,2010–2017,8,8,"One of the oldest known serial killers, active at 65, he lured men to secret sexual encounters involving drugs and bondage, killed them and dismembered their bodies which he hid in garden planters.[280]"
Paul Ogorzow,Germany,1940–1941,8,,"Known as the ""S-Bahn murderer""; SA sergeant convicted of raping and murdering eight women by throwing them off trains in Berlin during blackouts in 1941 and 1942. Executed by guillotine at the Plötzensee Prison on July 26, 1941."
Genzo Kurita,Japan,1948–1952,8,,"Serial rapist and murderer, engaging in necrophilia in two of his murders. Two other victims were the children of the woman he targeted, who Kurita threw off a cliff (a third child survived). Hanged in 1959."
Marie Noe,United States,1949–1968,8,,Murdered eight of her children between 1949 and 1968.
Kiyoshi Okubo,Japan,1971,8,,"Raped and murdered eight women aged 17 to 21 upon his release from prison, where he had been for previous rapes. Hanged in 1976."
Marybeth Tinning,United States,1972–1983,8,,"Suffocated eight of her nine children during the 1970s. One daughter died of natural causes shortly after birth, the first of the Tinning children to die."
Michael Bruce Ross,United States,1981–1984,8,,"Ross confessed to all of the murders, and was convicted of four of them. He was executed by the state of Connecticut on May 13, 2005 by lethal injection, making it the first execution in Connecticut and the whole of New England since 1960."
Gary C. Evans,United States,1985–1998,8,,"Befriended the Son of Sam killer while incarcerated. Released in 1984, he proceeded to burglarize and kill while in and out of jails for over 13 years. Aided investigators in a high profile murder case before dodging parole and being chased. The manhunt finally ended when he jumped to his death off a bridge."
Colonial Parkway Killer,United States,1986–1989,8,,Believed to have murdered at least eight people in Virginia between 1986 and 1989; left three couples dead and one couple missing and presumed dead.
Sean Vincent Gillis,United States,1994–2003,8,,"Kidnapped, raped, and mutilated the corpses of Louisiana women.[281][282][283]"
Vladimir Mukhankin,Russia,1995–1996,8,,"Known as ""The pupil of Chikatilo""; he killed 8 women."
Manuel Delgado Villegas,Spain  France (claimed)  Italy (claimed),1964–1971,7,48,"Wandering criminal known as El Arropiero (""The Arrope Trader"") and El Estrangulador del Puerto (""The Strangler of Puerto""). Confessed to the impulsive murders of 48 people of different sex, age, wealth and sexual orientation in three countries (including his girlfriend, whom he strangled during sex), but police only investigated him for 22 murders in Spain and was considered proven author of seven. Some of his victims were killed with hand to hand combat techniques that he had learned in the Spanish Foreign Legion. Diagnosed with XYY syndrome and interned in a mental institution until his death in 1998.[284]"
Ershad Sikder,Bangladesh,1991–1999,7,43+,Career criminal and corrupt politician responsible for numerous torture murders in the 1990s; convicted on seven counts and executed 2004.[285]
Diego Alexánder Ruiz Restrepo,Chile,2018–2020,7,27,"Known as the ""Psycopath of Meiggs"". Illegal Colombian immigrant who has been living in Chile since 2013, often resorting to robbing and killing homeless people. Although he has had only 8 confirmed victims, he is currently being investigated for 20 more, which, if confirmed, would turn him into the most murderous serial killer in Chilean history.[286]"
Ivan Milat,Australia,1990s,7,23–37,Convicted of the Backpacker murders; sentenced to seven consecutive life sentences plus 18 years without the possibility of parole. May have had accomplices.[287]
Reta Mays,United States,2017–2018,7,20,"Nursing assistant who killed elderly military veterans at a VA hospital in Clarksburg, West Virginia by injecting them with lethal doses of insulin.[288]"
Stockton serial shootings,United States,2021–2022,7,8,"On October 15, 2022, a Stockton man, Wesley Brownlee, was arrested in connection to the shootings.[289]"
Michael Wayne McGray,Canada  United States,1985–1988,7,18+,"Convicted of the murder of six people in the late 1990s, including a woman and her 11-year-old daughter. Claims to have killed 11 others, including murders committed while on parole and while on a three-day pass from prison. Finally imprisoned for life, killed a cellmate in 2010.[290]"
Łódź Gay Murderer,Poland,1988–1993,7,7,"Unidentified serial killer who killed gay men in Łódź, estimated to have killed 7 people.[291]"
John Floyd Thomas Jr.,United States,1957–2009,7,15+,Serial murderer and rapist with one of the longest criminal careers in the US.
Kenneth Erskine,United Kingdom,1986,7,11,"Known as ""The Stockwell Strangler"", he was a burglar who raped and strangled at least seven elderly women after breaking into their homes.[292]"
David Carpenter,United States,1979–1981,7,11,"Known as ""The Trailside Killer""; murdered women on San Francisco-area hiking trails between 1979 and 1981. Sentenced to death.[293]"
Vladimir Kuzmin,Russia,1997,7,11,"Raped, murdered and robbed mostly young boys and men in Moscow; assisted in his first two murders by Denis Kalistratov; sentenced to life imprisonment.[294]"
Tommy Recco,France,1960–1980,7,10,"Murdered his godfather in 1960; after release, killed six cashiers in two separate store raids; also suspected of murdering a trio of German tourists.[295]"
Derrick Todd Lee,United States,2002,7,10,"Known as the ""Baton Rouge or South Louisiana Serial Killer"" convicted of three murders. Believed to have murdered several other women in Louisiana, Mississippi and Alabama. Sentenced to death, died in 2016.[296]"
Tomás Maldonado Cera,Colombia,2002–2018,7,10,"Known as ""The Satanist""; killed people in Barranquilla for the purpose of satanic rituals.[297]"
Peter Manuel,United Kingdom,1956–1958,7,9,"Hanged in 1958 after being convicted of seven murders at a sensational trial in Glasgow, may have committed two more."
Terry Blair,United States,1982–2004,7,9,Kansas City serial killer and rapist; active 1982–2004. Sentenced to life.
Doug Clark,United States,1980,7,8+,"Boiler operator who killed sex workers in Los Angeles. One of the ""Sunset Strip Killers""."
Stanisław Modzelewski,Poland,1952–1967,7,8,"Known as ""The Vampire of Gałkówek"". Confessed to strangling eight women, but convicted of seven because one of the bodies was never found."
Michael Hughes,United States,1986–1993,7,8,Killed six women and a schoolgirl in the South Los Angeles area between 1986 and 1993.
Santa Rosa Hitchhiker Killer,United States,1972–1973,7,7+,"""Santa Rosa Hitchhiker Murders"": Series of at least seven unsolved homicides involving female hitchhikers that took place in Sonoma County and Santa Rosa of the North Bay area of California in 1972 and 1973."
Roger Kibbe,United States,1977–1987,7,7+,"Known as ""The I-5 Strangler"", killed 7 women between 1977 and 1987. 6 along I-5 near Sacramento, and one in Walnut Creek, California. He was tried for the Walnut Creek murder by the Grand Jury before the body was found but in exchange for helping to find the body Kibbe was spared the death penalty and received life in prison. It took detectives 34 years to find the body."
Connecticut River Valley Killer,United States,1978–1987,7,7+,"Believed responsible for a series of similar knife murders mostly in and around Claremont, New Hampshire, and the Connecticut River Valley, primarily in the 1980s."
Paul Durousseau,United States,1997–2003,7,7+,A former soldier who strangled several women between the ages of 17 and 26 in the southeastern United States. He had the moniker of the Jacksonville Ripper and had the reputation of being a lewd womanizer.
Todd Kohlhepp,United States,2003–2016,7,7+,"A registered sex offender; Shot up a motorcycle shop in 2003, killing 4; killed 3 more victims in 2015 and 2016; is currently serving 7 life sentences for the crimes.[298]"
Darren Deon Vann,United States,2014 and earlier,7,7+,Confessed to the murders of at least seven women.
Aileen Wuornos,United States,1989–1990,7,7,Sex worker that shot her victims at point blank range.[299] Executed in 2002.
Hu Daoping,China,2003–2005,7,7,"Career criminal who, following a jail escape in 1998, killed seven people during robberies.[300]"
Nikos Metaxas,Cyprus,2016–2018,7,7,"A 35-year-old Cypriot Army officer who killed five women and two children between September 2016 and August 2018. These became known as the ""Mitsero murders."" Sentenced to 7 life sentences.[301][302]"
José Misael Roldán Concha,Chile,1954–1957,7,7,"Killed an iron mine worker in 1954. After being free on parole, he killed a woman and five of her seven children. Originally sentenced to death, but was later imprisoned for life after a presidential pardon."
Sataro Fukiage,Japan,1906–1924,7,,Killed seven girls aged 11 to 16 and raped between 93 and 100. Hanged in 1926.
Joseph Taborsky,United States,1950–1957,7,,"Joseph ""Mad Dog"" Taborsky was sentenced to death after brutal robberies and murders in Connecticut during the 1950s."
Václav Mrázek,Czechoslovakia,1951–1956,7,,Killed 7 women in Chomutov. Executed in 1957.
Anatoly Slivko,Soviet Union,1961–1985,7,,"As a member of the Young Pioneers (Soviet Boy Scouts), Slivko gained the trust of 43 young boys over almost three decades, asphyxiated them until they fell unconscious, and then ritually molested, filmed, photographed and resuscitated them. The seven boys that didn't wake up were dismembered and burned. Minutes before his execution in 1989, police asked Slivko for advice in the investigation of Andrei Chikatilo's crimes."
Cincinnati Strangler,United States,1965–1966,7,,"Raped and strangled seven mostly elderly women in Cincinnati, Ohio between 1965 and 1966. Believed to be Posteal Laskey, who was convicted of one murder and died in prison on May 29, 2007."
Émile Louis,France,1975–1978,7,,"Bus driver that preyed on young handicapped women (seven murders) in the 1970s. Sentenced to life in prison on November 25, 2004."
Paul Steven Haigh,Australia,1978–1991,7,,Sentenced to life imprisonment without parole for the murders of seven people in Victoria.
Aleksey Sukletin,Soviet Union,1979–1985,7,,"Known as ""The Alligator""; killed and cannibalized at least 7 girl and women from 1979 to 1985; executed 1987."
Roberto Succo,Italy  France,1981–1988,7,,"In 1986 he escaped the mental hospital where he was recluded in for murdering his parents five years earlier and began a crime spree in Europe that included burglary, hijacking, kidnapping, rape and murder and earned him the Public Enemy Number One spot in Italy, France and Switzerland. Committed suicide in prison after failing to escape a second time."
Walter E. Ellis,United States,1986–2007,7,,"Known as ""The Milwaukee North Side Strangler""; convicted of killing 7 sex workers in Wisconsin between 1986 and 2007. Died in prison on December 1, 2013."
Harrison Graham,United States,1987,7,,Convicted of killing seven women in Philadelphia and keeping their bodies in his apartment.[303]
